2024-04-13 00:03:36.083 | INFO     | __main__:main:99 - Starting directory analysis
2024-04-13 00:03:36.083 | INFO     | __main__:main:102 - C:\Users\momoore\OneDrive - Mazak Corporation\Documents exists, proceeding with directory analysis
2024-04-13 00:03:36.107 | DEBUG    | __main__:get_directories:32 - Getting directories in: C:\Users\momoore\OneDrive - Mazak Corporation\Documents took 0.02 seconds
2024-04-13 00:03:42.473 | DEBUG    | __main__:count_files:48 - Counted 1 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/1Pass'), subdirectories=0, files=0, recursive_files=1) took 0.00 seconds
2024-04-13 00:03:42.473 | DEBUG    | __main__:count_subdirectories:71 - Counted 0 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/1Pass'), subdirectories=0, files=1, recursive_files=1) took 0.00 seconds
2024-04-13 00:03:42.473 | DEBUG    | __main__:count_files:48 - Counted 0 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/2023-10-10-MC2024-eval.zip'), subdirectories=0, files=0, recursive_files=5) took 0.00 seconds
2024-04-13 00:03:42.473 | DEBUG    | __main__:count_subdirectories:71 - Counted 1 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/2023-10-10-MC2024-eval.zip'), subdirectories=0, files=0, recursive_files=5) took 0.00 seconds
2024-04-13 00:03:42.481 | DEBUG    | __main__:count_files:48 - Counted 0 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Altova'), subdirectories=0, files=0, recursive_files=746) took 0.00 seconds
2024-04-13 00:03:42.481 | DEBUG    | __main__:count_subdirectories:71 - Counted 3 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Altova'), subdirectories=0, files=0, recursive_files=746) took 0.00 seconds
2024-04-13 00:03:42.481 | DEBUG    | __main__:count_files:48 - Counted 0 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Apps'), subdirectories=0, files=0, recursive_files=9) took 0.00 seconds
2024-04-13 00:03:42.481 | DEBUG    | __main__:count_subdirectories:71 - Counted 3 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Apps'), subdirectories=0, files=0, recursive_files=9) took 0.00 seconds
2024-04-13 00:03:42.489 | DEBUG    | __main__:count_files:48 - Counted 0 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Backups'), subdirectories=0, files=0, recursive_files=1) took 0.00 seconds
2024-04-13 00:03:42.489 | DEBUG    | __main__:count_subdirectories:71 - Counted 1 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Backups'), subdirectories=0, files=0, recursive_files=1) took 0.00 seconds
2024-04-13 00:03:42.489 | DEBUG    | __main__:count_files:48 - Counted 0 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/CAD & CAM'), subdirectories=0, files=0, recursive_files=203) took 0.00 seconds
2024-04-13 00:03:42.489 | DEBUG    | __main__:count_subdirectories:71 - Counted 5 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/CAD & CAM'), subdirectories=0, files=0, recursive_files=203) took 0.00 seconds
2024-04-13 00:03:42.505 | DEBUG    | __main__:count_files:48 - Counted 5 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Coding'), subdirectories=0, files=0, recursive_files=109864) took 0.01 seconds
2024-04-13 00:03:42.513 | DEBUG    | __main__:count_subdirectories:71 - Counted 16 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Coding'), subdirectories=0, files=5, recursive_files=109864) took 0.01 seconds
2024-04-13 00:03:42.513 | DEBUG    | __main__:count_files:48 - Counted 0 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Cook i300s'), subdirectories=0, files=0, recursive_files=66) took 0.00 seconds
2024-04-13 00:03:42.513 | DEBUG    | __main__:count_subdirectories:71 - Counted 1 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Cook i300s'), subdirectories=0, files=0, recursive_files=66) took 0.00 seconds
2024-04-13 00:03:42.513 | DEBUG    | __main__:count_files:48 - Counted 0 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/CPC_v2_1_15'), subdirectories=0, files=0, recursive_files=189) took 0.00 seconds
2024-04-13 00:03:42.513 | DEBUG    | __main__:count_subdirectories:71 - Counted 1 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/CPC_v2_1_15'), subdirectories=0, files=0, recursive_files=189) took 0.00 seconds
2024-04-13 00:03:42.521 | DEBUG    | __main__:count_files:48 - Counted 4 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Custom Office Templates'), subdirectories=0, files=0, recursive_files=4) took 0.00 seconds
2024-04-13 00:03:42.521 | DEBUG    | __main__:count_subdirectories:71 - Counted 0 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Custom Office Templates'), subdirectories=0, files=4, recursive_files=4) took 0.00 seconds
