2024-04-12 16:30:13.755 | INFO     | __main__:main:99 - Starting directory analysis
2024-04-12 16:30:13.757 | INFO     | __main__:main:102 - C:\Users\momoore\OneDrive - Mazak Corporation\Documents exists, proceeding with directory analysis
2024-04-12 16:30:13.782 | DEBUG    | __main__:get_directories:32 - Getting directories in: C:\Users\momoore\OneDrive - Mazak Corporation\Documents took 0.02 seconds
2024-04-12 16:30:18.676 | DEBUG    | __main__:count_files:48 - Counted 1 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/1Pass'), subdirectories=0, files=0, recursive_files=1) took 0.00 seconds
2024-04-12 16:30:18.679 | DEBUG    | __main__:count_subdirectories:71 - Counted 0 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/1Pass'), subdirectories=0, files=1, recursive_files=1) took 0.00 seconds
2024-04-12 16:30:18.680 | DEBUG    | __main__:count_files:48 - Counted 0 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/2023-10-10-MC2024-eval.zip'), subdirectories=0, files=0, recursive_files=5) took 0.00 seconds
2024-04-12 16:30:18.682 | DEBUG    | __main__:count_subdirectories:71 - Counted 1 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/2023-10-10-MC2024-eval.zip'), subdirectories=0, files=0, recursive_files=5) took 0.00 seconds
2024-04-12 16:30:18.684 | DEBUG    | __main__:count_files:48 - Counted 0 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Altova'), subdirectories=0, files=0, recursive_files=746) took 0.00 seconds
2024-04-12 16:30:18.686 | DEBUG    | __main__:count_subdirectories:71 - Counted 3 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Altova'), subdirectories=0, files=0, recursive_files=746) took 0.00 seconds
2024-04-12 16:30:18.687 | DEBUG    | __main__:count_files:48 - Counted 0 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Apps'), subdirectories=0, files=0, recursive_files=9) took 0.00 seconds
2024-04-12 16:30:18.689 | DEBUG    | __main__:count_subdirectories:71 - Counted 3 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Apps'), subdirectories=0, files=0, recursive_files=9) took 0.00 seconds
2024-04-12 16:30:18.690 | DEBUG    | __main__:count_files:48 - Counted 0 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Backups'), subdirectories=0, files=0, recursive_files=1) took 0.00 seconds
2024-04-12 16:30:18.691 | DEBUG    | __main__:count_subdirectories:71 - Counted 1 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Backups'), subdirectories=0, files=0, recursive_files=1) took 0.00 seconds
2024-04-12 16:30:18.693 | DEBUG    | __main__:count_files:48 - Counted 0 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/CAD & CAM'), subdirectories=0, files=0, recursive_files=203) took 0.00 seconds
