2024-04-12 16:27:54.152 | INFO     | __main__:main:99 - Starting directory analysis
2024-04-12 16:27:54.153 | INFO     | __main__:main:102 - C:\Users\momoore\OneDrive - Mazak Corporation\Documents exists, proceeding with directory analysis
2024-04-12 16:27:54.170 | DEBUG    | __main__:get_directories:32 - Getting directories in: C:\Users\momoore\OneDrive - Mazak Corporation\Documents took 0.02 seconds
2024-04-12 16:27:55.764 | DEBUG    | __main__:count_files:48 - Counted 1 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/1Pass'), subdirectories=0, files=0, recursive_files=1) took 0.00 seconds
2024-04-12 16:27:55.767 | DEBUG    | __main__:count_subdirectories:71 - Counted 0 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/1Pass'), subdirectories=0, files=1, recursive_files=1) took 0.00 seconds
2024-04-12 16:27:55.768 | DEBUG    | __main__:count_files:48 - Counted 0 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/2023-10-10-MC2024-eval.zip'), subdirectories=0, files=0, recursive_files=5) took 0.00 seconds
2024-04-12 16:27:55.769 | DEBUG    | __main__:count_subdirectories:71 - Counted 1 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/2023-10-10-MC2024-eval.zip'), subdirectories=0, files=0, recursive_files=5) took 0.00 seconds
2024-04-12 16:27:55.770 | DEBUG    | __main__:count_files:48 - Counted 0 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Altova'), subdirectories=0, files=0, recursive_files=746) took 0.00 seconds
2024-04-12 16:27:55.771 | DEBUG    | __main__:count_subdirectories:71 - Counted 3 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Altova'), subdirectories=0, files=0, recursive_files=746) took 0.00 seconds
2024-04-12 16:27:55.773 | DEBUG    | __main__:count_files:48 - Counted 0 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Apps'), subdirectories=0, files=0, recursive_files=9) took 0.00 seconds
2024-04-12 16:27:55.774 | DEBUG    | __main__:count_subdirectories:71 - Counted 3 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Apps'), subdirectories=0, files=0, recursive_files=9) took 0.00 seconds
2024-04-12 16:27:55.774 | DEBUG    | __main__:count_files:48 - Counted 0 files in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Backups'), subdirectories=0, files=0, recursive_files=1) took 0.00 seconds
2024-04-12 16:27:55.775 | DEBUG    | __main__:count_subdirectories:71 - Counted 1 subdirectories in Directory(path=WindowsPath('C:/Users/momoore/OneDrive - Mazak Corporation/Documents/Backups'), subdirectories=0, files=0, recursive_files=1) took 0.00 seconds
