2024-04-13 00:01:27.436 | INFO     | __main__:main:101 - Starting directory analysis
2024-04-13 00:01:27.436 | INFO     | __main__:main:104 - C:\Users\momoore\OneDrive - Mazak Corporation\Documents exists, proceeding with directory analysis
2024-04-13 00:01:27.479 | DEBUG    | __main__:get_directories:24 - Getting directories in: C:\Users\momoore\OneDrive - Mazak Corporation\Documents took 0.04 seconds
2024-04-13 00:01:27.479 | INFO     | __main__:main:110 - Analyzing C:\Users\momoore\OneDrive - Mazak Corporation\Documents\1Pass
2024-04-13 00:01:27.487 | DEBUG    | __main__:count_subdirectories:73 - Counted 0 subdirectories in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\1Pass took 0.00 seconds
2024-04-13 00:01:27.487 | DEBUG    | __main__:count_files:40 - Counted 1 files in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\1Pass took 0.00 seconds
2024-04-13 00:01:27.487 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\1Pass is 1, took 0.00 seconds
2024-04-13 00:01:27.487 | INFO     | __main__:main:110 - Analyzing C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip
2024-04-13 00:01:27.487 | DEBUG    | __main__:count_subdirectories:73 - Counted 1 subdirectories in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip took 0.00 seconds
2024-04-13 00:01:27.487 | DEBUG    | __main__:count_files:40 - Counted 0 files in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip took 0.00 seconds
2024-04-13 00:01:27.495 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip\Shared Mastercam\MachineSimulation\MachSim\MPPOSTABILITY_MAZAK_VC_EZ26_4+1 is 2, took 0.00 seconds
2024-04-13 00:01:27.503 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip\Shared Mastercam\MachineSimulation\MachSim is 2, took 0.00 seconds
2024-04-13 00:01:27.503 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip\Shared Mastercam\MachineSimulation is 2, took 0.01 seconds
2024-04-13 00:01:27.503 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip\Shared Mastercam\mill\Posts is 3, took 0.00 seconds
2024-04-13 00:01:27.511 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip\Shared Mastercam\mill is 3, took 0.01 seconds
2024-04-13 00:01:27.511 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip\Shared Mastercam is 5, took 0.02 seconds
2024-04-13 00:01:27.511 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\2023-10-10-MC2024-eval.zip is 5, took 0.02 seconds
2024-04-13 00:01:27.511 | INFO     | __main__:main:110 - Analyzing C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova
2024-04-13 00:01:27.511 | DEBUG    | __main__:count_subdirectories:73 - Counted 3 subdirectories in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova took 0.00 seconds
2024-04-13 00:01:27.519 | DEBUG    | __main__:count_files:40 - Counted 0 files in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova took 0.00 seconds
2024-04-13 00:01:27.519 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova\XML Spy License\License is 1, took 0.00 seconds
2024-04-13 00:01:27.519 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova\XML Spy License is 1, took 0.00 seconds
2024-04-13 00:01:27.527 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova\XMLSpy2023\AutoBackup\262D2C0C-7732-4905-AF8C-DEF858AFD6A6 is 1, took 0.00 seconds
2024-04-13 00:01:27.527 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova\XMLSpy2023\AutoBackup is 1, took 0.00 seconds
2024-04-13 00:01:27.559 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova\XMLSpy2023\Documentation\JSONSchema\SampleData\Sample_diagrams is 17, took 0.02 seconds
2024-04-13 00:01:27.559 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova\XMLSpy2023\Documentation\JSONSchema\SampleData is 19, took 0.02 seconds
2024-04-13 00:01:27.559 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova\XMLSpy2023\Documentation\JSONSchema is 21, took 0.03 seconds
2024-04-13 00:01:27.567 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova\XMLSpy2023\Documentation\Schema\Modules is 1, took 0.00 seconds
2024-04-13 00:01:27.615 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova\XMLSpy2023\Documentation\Schema\SampleData\Sample_diagrams is 46, took 0.05 seconds
2024-04-13 00:01:27.615 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova\XMLSpy2023\Documentation\Schema\SampleData is 50, took 0.05 seconds
2024-04-13 00:01:27.623 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova\XMLSpy2023\Documentation\Schema is 57, took 0.06 seconds
2024-04-13 00:01:27.647 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova\XMLSpy2023\Documentation\WSDL\SampleData\TimeService_diagrams is 23, took 0.02 seconds
2024-04-13 00:01:27.647 | DEBUG    | __main__:count_files_recursive:64 - Recursive file count in C:\Users\momoore\OneDrive - Mazak Corporation\Documents\Altova\XMLSpy2023\Documentation\WSDL\SampleData is 25, took 0.03 seconds
